product_id;product_name;prezzoAcquisto;id;category;price;cost;costoproduzione_foodbev;costoproduzione_materiali;costoproduzione_extra;costoproduzione_personale;costoproduzione_struttura;costoproduzione_consumi
555;BAVARESE;1,05;571;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
556;BABA;1,05;572;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
557;T.FRUTTA;1,05;573;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
558;CIAMBELLINE;1,05;575;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
559;INS.TOMA.PERE;2,1;576;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
56;NAPOLETANA;1,65;56;6;5,5;0,55;0,275;0,11;0,165;0,825;0,275;0,55
560;MOUSSE;1,05;577;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
561;SACHER;1,05;578;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
562;RUCOLA;1,5;579;6;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
563;LITRO COCA;2,7;580;10;9;0,9;0,45;0,18;0,27;1,35;0,45;0,9
564;BAILEYS;0,75;581;11;2,5;0,25;0,125;0,05;0,075;0,375;0,125;0,25
565;SORBETTO MELA;1,05;582;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
566;TIMBALLO;1,05;583;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
567;TARTIN MELE;1,05;584;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
57;SICILIANA;1,65;57;6;5,5;0,55;0,275;0,11;0,165;0,825;0,275;0,55
575;PEPERONATA;0;593;19;0;0;0;0;0;0;0;0
576;PATA FORNO;0;594;19;0;0;0;0;0;0;0;0
577;CRAUTI;0;595;19;0;0;0;0;0;0;0;0
579;PAT FORNO;0,9;597;4;3;0,3;0,15;0,06;0,09;0,45;0,15;0,3
58;CALABRESE;2,1;58;6;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
581;FLAN PORCINO;2,1;599;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
582;BRISE;0;600;19;0;0;0;0;0;0;0;0
583;TARTIN PRUGNE;1,05;601;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
584;CIOCCOLATA CALDA;0;602;17;0;0;0;0;0;0;0;0
585;MERINGHE;1,05;603;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
59;DIAVOLA;1,8;59;6;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
6;SPAGH. VONGOLE;2,55;6;2;8,5;0,85;0,425;0,17;0,255;1,275;0,425;0,85
60;PROSCIUTTO;1,5;60;6;5;0,5;0,25;0,1;0,15;0,75;0,25;0,5
602;PESCHE;1,05;620;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
604;T.LIMONE;1,05;622;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
605;FRAGOLE;1,05;623;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
606;GAMBERETTI;2,1;624;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
61;PROSC.CHAMP;1,95;61;6;6,5;0,65;0,325;0,13;0,195;0,975;0,325;0,65
612;POLENTA;2,4;631;;8;0,8;0,4;0,16;0,24;1,2;0,4;0,8
613;CHEESE CAKE FRAGOLE;1,05;632;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
614;CHEESE CAKE CIOCCO;1,05;633;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
62;PROSC. PORC.;2,1;62;6;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
622;SACHER;1,05;641;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
623;FESA;2,1;642;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
624;MELONE;1,05;643;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
625;VIT.TONN;2,1;644;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
626;FLAN;0;645;19;0;0;0;0;0;0;0;0
627;CIAMBELLE;1,05;646;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
629;MERLUZZO;0;648;19;0;0;0;0;0;0;0;0
63;FUNGHI;1,8;63;6;6;0,6;0,3;0,12;0,18;0,9;0,3;0,6
638;POLIPO;2,1;657;18;7;0,7;0,35;0,14;0,21;1,05;0,35;0,7
639;MOUSSE;1,05;658;7;3,5;0,35;0,175;0,07;0,105;0,525;0,175;0,35
