6|voice-bridge  | 2026-02-26T02:47:29.799Z [INFO ] [BRIDGE:SERVER] ⏱️ [VPS-TIMING] Pre-connect overhead: 51ms sessionId=a2b47cf8
6|voice-bridge  | 2026-02-26T02:47:29.800Z [INFO ] [BRIDGE:REPLIT-WS] Connecting to Replit WebSocket sessionId=a2b47cf8 url=wss://dc99a312-4afb-4d6c-be74-0c8011c56123-00-sjd7m1q5035y.kirk.replit.dev/ws/ai-voice voice=Puck isResume=false
6|voice-bridge  | 2026-02-26T02:47:30.437Z [INFO ] [BRIDGE:REPLIT-WS] ⏱️ [REPLIT-WS-TIMING] TLS+HTTP upgrade handshake: 638ms sessionId=a2b47cf8 resumed=false
6|voice-bridge  | 2026-02-26T02:47:30.438Z [INFO ] [BRIDGE:SERVER] ⏱️ [VPS-TIMING] Replit WS connected in 639ms (TLS handshake + HTTP upgrade) sessionId=a2b47cf8
6|voice-bridge  | 2026-02-26T02:47:30.438Z [INFO ] [BRIDGE:SESSION] Replit client attached sessionId=a2b47cf8
6|voice-bridge  | 2026-02-26T02:47:30.438Z [INFO ] [BRIDGE:SESSION] Session state change sessionId=a2b47cf8 from=connecting to=active
6|voice-bridge  | 2026-02-26T02:47:30.438Z [INFO ] [BRIDGE:SERVER] ⏱️ [VPS-TIMING] Total handleCallStart: 690ms (setup=51ms, connect=639ms, post=0ms) sessionId=a2b47cf8
6|voice-bridge  | 2026-02-26T02:47:30.726Z [INFO ] [BRIDGE:CONTEXT] Number owner found calledNumber=9999 consultant_id=0c73bbe5 display_name=Alessio Test
6|voice-bridge  | 2026-02-26T02:47:30.727Z [INFO ] [BRIDGE:SERVER] 📞 [NUMBER LOOKUP] Called number 9999 belongs to consultant=0c73bbe5-51e1-4108-866b-6be7a52fce3b, display=Alessio Test
6|voice-bridge  | 2026-02-26T02:47:32.351Z [INFO ] [BRIDGE:REPLIT-WS] [AI DICE]: Ciao! Ti
6|voice-bridge  | 2026-02-26T02:47:32.351Z [INFO ] [BRIDGE:SERVER] [AI]: "Ciao! Ti"
6|voice-bridge  | 2026-02-26T02:47:32.614Z [INFO ] [BRIDGE:REPLIT-WS] [AI DICE]:  richiamo
6|voice-bridge  | 2026-02-26T02:47:32.615Z [INFO ] [BRIDGE:SERVER] [AI]: " richiamo"
6|voice-bridge  | 2026-02-26T02:47:32.933Z [INFO ] [BRIDGE:REPLIT-WS] ⏱️ [REPLIT-WS-TIMING] First BINARY audio byte received 2496ms after WS open sessionId=a2b47cf8
6|voice-bridge  | 2026-02-26T02:47:32.933Z [INFO ] [BRIDGE:SERVER] 
6|voice-bridge  | ⏱️ ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
6|voice-bridge  | 2026-02-26T02:47:32.933Z [INFO ] [BRIDGE:SERVER] ⏱️ [VPS LATENCY REPORT] First audio from Replit
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️ ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️  handleCallStart entry → Replit WS connect start:  51ms (local setup)
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️  Replit WS connect (TLS handshake):                638ms
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️  Replit WS open → First audio byte:               2496ms (server-side processing)
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️  ─────────────────────────────────────────
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️  TOTAL handleCallStart → First audio:              3185ms
6|voice-bridge  | 2026-02-26T02:47:32.934Z [INFO ] [BRIDGE:SERVER] ⏱️ ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
6|voice-bridge  | 2026-02-26T02:47:32.941Z [INFO ] [BRIDGE:REPLIT-WS] [AI DICE]:  subitooo!
6|voice-bridge  | 2026-02-26T02:47:32.941Z [INFO ] [BRIDGE:SERVER] [AI]: " subitooo!"
