6|voice-bridge  | 2026-03-05T03:46:34.769Z [INFO ] [BRIDGE:SERVER] 📞 Replit closed permanently - ending call sessionId=16311c50
6|voice-bridge  | 2026-03-05T03:46:34.770Z [INFO ] [BRIDGE:SESSION] Session ended sessionId=16311c50 callId=fcba6f8c-2128-4c50-a64d-204b471c9005 reason=replit_disconnected duration=902ms bytesIn=0 bytesOut=0 packetsIn=0 packetsOut=0
6|voice-bridge  | 2026-03-05T03:46:40.530Z [INFO ] [BRIDGE:SERVER] WebSocket closed (Session: 16311c50-6bda-4887-a88f-4ef9c97fa59a)
6|voice-bridge  | 2026-03-05T03:46:51.313Z [INFO ] [BRIDGE:OUTBOUND] [BRIDGE:OUTBOUND] Received outbound call request callId=sc_1772682409285_bkecx1dpy targetPhone=1004 aiMode=assistenza
6|voice-bridge  | 2026-03-05T03:46:51.313Z [INFO ] [BRIDGE:OUTBOUND] [BRIDGE:OUTBOUND] AMD enabled=true
6|voice-bridge  | 2026-03-05T03:46:51.313Z [INFO ] [BRIDGE:OUTBOUND] [BRIDGE:OUTBOUND] Calling LOCAL extension 1004 (no gateway, no tech prefix)
6|voice-bridge  | 2026-03-05T03:46:51.313Z [INFO ] [BRIDGE:OUTBOUND] [BRIDGE:OUTBOUND] Executing originate command uuid=outbound-1772682411313-0j97by dialString={origination_caller_id_number=9999,effective_caller_id_number=9999,originate_timeout=30,origination_uuid=outbound-1772682411313-0j97by,execute_on_answer='amd'}user/1004 &park()
6|voice-bridge  | 2026-03-05T03:46:51.313Z [INFO ] [BRIDGE:OUTBOUND] [BRIDGE:OUTBOUND] Pre-registered uuid=outbound-1772682411313-0j97by → callId=sc_1772682409285_bkecx1dpy + metadata (before originate)
6|voice-bridge  | 2026-03-05T03:46:51.313Z [INFO ] [BRIDGE:ESL] [OUTBOUND] Executing originate: {origination_caller_id_number=9999,effective_caller_id_number=9999,originate_timeout=30,origination_uuid=outbound-1772682411313-0j97by,execute_on_answer='amd'}user/1004 &park()
6|voice-bridge  | 2026-03-05T03:46:54.150Z [INFO ] [BRIDGE:ESL] 🔍 [CHANNEL_ANSWER DEBUG] uuid=outbound-1772682411313-0j97by otherLeg= direction=outbound dest=1004 caller=9999 isOutbound=true
6|voice-bridge  | 2026-03-05T03:46:54.150Z [INFO ] [BRIDGE:ESL] 📞 OUTBOUND call ANSWERED — starting audio stream uuid=outbound-1772682411313-0j97by ringTimeMs=0
6|voice-bridge  | 2026-03-05T03:46:54.150Z [INFO ] [BRIDGE:ESL] ⏱️ [ESL-TIMING] Executing uuid_audio_stream after 0ms uuid=outbound-1772682411313-0j97by
6|voice-bridge  | 2026-03-05T03:46:54.151Z [INFO ] [BRIDGE:ESL] [OUTBOUND] Originate result response=-ERR DESTINATION_OUT_OF_ORDER
6|voice-bridge  | 2026-03-05T03:46:54.151Z [ERROR] [BRIDGE:OUTBOUND] [BRIDGE:OUTBOUND] Failed to originate call callId=sc_1772682409285_bkecx1dpy error=FreeSWITCH error: -ERR DESTINATION_OUT_OF_ORDER
6|voice-bridge  | 2026-03-05T03:46:54.194Z [ERROR] [BRIDGE:ESL] ❌ Failed to start audio stream uuid=outbound-1772682411313-0j97by error=-ERR Operation Failed
6|voice-bridge  | 
